,Dynamics,delta,loss,pval
0,Diffusion,1,0.0019470078404992819,0.91
1,Diffusion,1,0.00172040902543813,0.92
2,Diffusion,1,0.0025177535135298967,0.93
3,Diffusion,1,0.0019482930656522512,0.95
4,Diffusion,1,0.0014886665157973766,0.95
5,Diffusion,1,0.0024629789404571056,0.89
6,Diffusion,1,0.0014702349435538054,0.98
7,Diffusion,1,0.0014137312537059188,0.93
8,Diffusion,1,0.002325046341866255,0.88
9,Diffusion,1,0.0017509062308818102,0.92
0,Diffusion,2,0.0012432817602530122,0.9
1,Diffusion,2,0.0037945567164570093,0.97
2,Diffusion,2,0.0016176834469661117,0.95
3,Diffusion,2,0.0023609469644725323,0.92
4,Diffusion,2,0.0008867359138093889,0.98
5,Diffusion,2,0.0015676181064918637,1.0
6,Diffusion,2,0.0007771151722408831,1.0
7,Diffusion,2,0.0011983647709712386,0.92
8,Diffusion,2,0.0022919541224837303,0.94
9,Diffusion,2,0.001306993537582457,0.96
0,Diffusion,3,0.0008950470364652574,0.98
1,Diffusion,3,0.0009160761837847531,0.98
2,Diffusion,3,0.0006843226146884263,1.0
3,Diffusion,3,0.0014169858768582344,1.0
4,Diffusion,3,0.0011969237821176648,1.0
5,Diffusion,3,0.001277328236028552,0.97
6,Diffusion,3,0.0007126078708097339,0.99
7,Diffusion,3,0.0008091267663985491,1.0
8,Diffusion,3,0.0011924552964046597,0.99
9,Diffusion,3,0.0012649277923628688,0.98
0,Diffusion,4,0.0017561899730935693,1.0
1,Diffusion,4,0.0007209738250821829,1.0
2,Diffusion,4,0.0007787052891217172,0.99
3,Diffusion,4,0.0009875660762190819,1.0
4,Diffusion,4,0.000846416805870831,1.0
5,Diffusion,4,0.001097099855542183,1.0
6,Diffusion,4,0.001133115729317069,0.99
7,Diffusion,4,0.0006231082952581346,1.0
8,Diffusion,4,0.00041545587009750307,1.0
9,Diffusion,4,0.0009926295606419444,0.96
0,Diffusion,5,0.000976579263806343,1.0
1,Diffusion,5,0.00048374049947597086,1.0
2,Diffusion,5,0.0008546761819161475,1.0
3,Diffusion,5,0.001770474249497056,0.97
