,Dynamics,delta,loss,pval
0,Diffusion,0.0,0.0019470078404992819,0.91
1,Diffusion,0.0,0.00172040902543813,0.92
2,Diffusion,0.0,0.0025177535135298967,0.93
3,Diffusion,0.0,0.0019482930656522512,0.95
4,Diffusion,0.0,0.0014886665157973766,0.95
5,Diffusion,0.0,0.0024629789404571056,0.89
6,Diffusion,0.0,0.0014702349435538054,0.98
7,Diffusion,0.0,0.0014137312537059188,0.93
8,Diffusion,0.0,0.002325046341866255,0.88
9,Diffusion,0.0,0.0017509062308818102,0.92
0,Diffusion,0.1,0.004386040382087231,0.72
1,Diffusion,0.1,0.0023845373652875423,0.82
2,Diffusion,0.1,0.003270302666351199,0.85
3,Diffusion,0.1,0.0017529968172311783,0.96
4,Diffusion,0.1,0.0015631933929398656,0.96
5,Diffusion,0.1,0.0023084126878529787,0.89
6,Diffusion,0.1,0.0019143082899972796,0.89
7,Diffusion,0.1,0.0011533773504197598,0.91
8,Diffusion,0.1,0.0012739207595586777,0.93
9,Diffusion,0.1,0.0074959397315979,0.18
0,Diffusion,0.2,0.009301500394940376,0.0
1,Diffusion,0.2,0.004719182848930359,0.84
2,Diffusion,0.2,0.006372797302901745,0.13
3,Diffusion,0.2,0.004452327266335487,0.87
4,Diffusion,0.2,0.009734493680298328,0.51
5,Diffusion,0.2,0.004674416966736317,0.6
6,Diffusion,0.2,0.003596068127080798,0.88
7,Diffusion,0.2,0.0056682974100112915,0.77
8,Diffusion,0.2,0.016148509457707405,0.33
9,Diffusion,0.2,0.001417403924278915,0.98
0,Diffusion,0.30000000000000004,0.00837272871285677,0.06
1,Diffusion,0.30000000000000004,0.005371859762817621,0.2
2,Diffusion,0.30000000000000004,0.005915571469813585,0.79
3,Diffusion,0.30000000000000004,0.0041357893496751785,0.88
4,Diffusion,0.30000000000000004,0.009561345912516117,0.4
5,Diffusion,0.30000000000000004,0.0089467354118824,0.02
6,Diffusion,0.30000000000000004,0.00295831635594368,0.83
7,Diffusion,0.30000000000000004,0.0696105808019638,0.0
8,Diffusion,0.30000000000000004,0.005316715221852064,0.2
9,Diffusion,0.30000000000000004,0.00785878300666809,0.0
0,Diffusion,0.4,0.009229672141373158,0.0
1,Diffusion,0.4,0.014392295852303505,0.0
2,Diffusion,0.4,0.00784881692379713,0.44
3,Diffusion,0.4,0.01999177224934101,0.02
4,Diffusion,0.4,0.01382606290280819,0.0
5,Diffusion,0.4,0.01625162549316883,0.56
6,Diffusion,0.4,0.012900790199637413,0.01
7,Diffusion,0.4,0.01445462554693222,0.25
8,Diffusion,0.4,0.00726927537471056,0.21
9,Diffusion,0.4,0.006666814908385277,0.02
0,Diffusion,0.5,0.02167518250644207,0.0
1,Diffusion,0.5,0.011547258123755455,0.04
2,Diffusion,0.5,0.05016649141907692,0.0
3,Diffusion,0.5,0.019772380590438843,0.01
4,Diffusion,0.5,0.0169516708701849,0.0
5,Diffusion,0.5,0.020242108032107353,0.0
6,Diffusion,0.5,0.018624020740389824,0.0
7,Diffusion,0.5,0.009221148677170277,0.01
8,Diffusion,0.5,0.01304260827600956,0.0
9,Diffusion,0.5,0.03223208710551262,0.0
0,Diffusion,0.6000000000000001,0.011535047553479671,0.0
1,Diffusion,0.6000000000000001,0.028218084946274757,0.0
2,Diffusion,0.6000000000000001,0.05906002223491669,0.0
3,Diffusion,0.6000000000000001,0.02376219630241394,0.0
4,Diffusion,0.6000000000000001,0.02620447799563408,0.0
5,Diffusion,0.6000000000000001,0.012215732596814632,0.0
6,Diffusion,0.6000000000000001,0.10019796341657639,0.0
7,Diffusion,0.6000000000000001,0.05034046620130539,0.0
8,Diffusion,0.6000000000000001,0.021949270740151405,0.0
9,Diffusion,0.6000000000000001,0.04738278314471245,0.04
0,Diffusion,0.7000000000000001,0.04395158588886261,0.0
1,Diffusion,0.7000000000000001,0.03571859002113342,0.0
2,Diffusion,0.7000000000000001,0.10089793056249619,0.0
3,Diffusion,0.7000000000000001,0.04113325476646423,0.0
4,Diffusion,0.7000000000000001,0.0446162149310112,0.0
5,Diffusion,0.7000000000000001,0.023546315729618073,0.0
6,Diffusion,0.7000000000000001,0.0604981929063797,0.0
7,Diffusion,0.7000000000000001,0.010929749347269535,0.0
8,Diffusion,0.7000000000000001,0.03970498591661453,0.0
9,Diffusion,0.7000000000000001,0.04650815576314926,0.0
0,Diffusion,0.8,0.03652455285191536,0.0
1,Diffusion,0.8,0.07820865511894226,0.0
2,Diffusion,0.8,0.033323317766189575,0.0
3,Diffusion,0.8,0.08739380538463593,0.0
4,Diffusion,0.8,0.09411600977182388,0.0
5,Diffusion,0.8,0.13584110140800476,0.0
6,Diffusion,0.8,0.0452265739440918,0.0
7,Diffusion,0.8,0.08174402266740799,0.0
8,Diffusion,0.8,0.020465144887566566,0.0
9,Diffusion,0.8,0.03148691728711128,0.0
0,Diffusion,0.9,0.06499788165092468,0.0
1,Diffusion,0.9,0.1744229644536972,0.0
2,Diffusion,0.9,0.055632080882787704,0.0
3,Diffusion,0.9,0.15683652460575104,0.0
4,Diffusion,0.9,0.12545591592788696,0.0
5,Diffusion,0.9,0.0995473563671112,0.0
6,Diffusion,0.9,0.05641759932041168,0.0
7,Diffusion,0.9,0.04062642157077789,0.0
8,Diffusion,0.9,0.24063554406166077,0.0
9,Diffusion,0.9,0.04295140877366066,0.0
0,Diffusion,1.0,0.14259576797485352,0.0
1,Diffusion,1.0,0.054621096700429916,0.0
2,Diffusion,1.0,0.058229219168424606,0.0
3,Diffusion,1.0,0.1513010710477829,0.0
4,Diffusion,1.0,0.03949708491563797,0.0
5,Diffusion,1.0,0.05408051237463951,0.0
6,Diffusion,1.0,0.1387334018945694,0.0
7,Diffusion,1.0,0.07951819151639938,0.0
8,Diffusion,1.0,0.03680036589503288,0.0
9,Diffusion,1.0,0.10807687789201736,0.0
0,MAK,0.0,0.002757192123681307,0.92
1,MAK,0.0,0.00440329872071743,0.88
2,MAK,0.0,0.005920001771301031,0.94
3,MAK,0.0,0.0022930516861379147,0.94
4,MAK,0.0,0.00346393627114594,0.88
5,MAK,0.0,0.003824343206360936,0.9
6,MAK,0.0,0.0048363390378654,0.89
7,MAK,0.0,0.006220090202987194,0.82
8,MAK,0.0,0.0014585151802748442,0.95
9,MAK,0.0,0.0023812921717762947,0.95
0,MAK,0.1,0.003689837409183383,0.92
1,MAK,0.1,0.003953916486352682,0.93
2,MAK,0.1,0.005597188603132963,0.91
3,MAK,0.1,0.00901989545673132,0.81
4,MAK,0.1,0.006224474404007196,0.82
5,MAK,0.1,0.002975035458803177,0.88
6,MAK,0.1,0.009435209445655346,0.93
7,MAK,0.1,0.005742888897657394,0.78
8,MAK,0.1,0.004343782551586628,0.86
9,MAK,0.1,0.00441312650218606,0.94
0,MAK,0.2,0.00594955263659358,0.9
1,MAK,0.2,0.010783765465021133,0.81
2,MAK,0.2,0.007313306909054518,0.83
3,MAK,0.2,0.007322641089558601,0.86
4,MAK,0.2,0.0076322127133607864,0.9
5,MAK,0.2,0.009106876328587532,0.95
6,MAK,0.2,0.009754778817296028,0.87
7,MAK,0.2,0.006930205971002579,0.89
8,MAK,0.2,0.004169667139649391,0.87
9,MAK,0.2,0.004532858729362488,0.84
0,MAK,0.30000000000000004,0.022108562290668488,0.7
1,MAK,0.30000000000000004,0.013825129717588425,0.81
2,MAK,0.30000000000000004,0.0064590927213430405,0.95
3,MAK,0.30000000000000004,0.01529180258512497,0.84
4,MAK,0.30000000000000004,0.005304496735334396,0.85
5,MAK,0.30000000000000004,0.005217252764850855,0.85
6,MAK,0.30000000000000004,0.011930178850889206,0.86
7,MAK,0.30000000000000004,0.00950760766863823,0.88
