,Dynamics,delta,loss,pval
0,Diffusion,0.0,0.0019470078404992819,0.92
1,Diffusion,0.0,0.0005813554162159562,0.99
2,Diffusion,0.0,0.0017373079899698496,0.93
3,Diffusion,0.0,0.0013811549870297313,0.94
4,Diffusion,0.0,0.00227100751362741,0.93
5,Diffusion,0.0,0.002877826802432537,0.91
6,Diffusion,0.0,0.0014065041905269027,0.97
7,Diffusion,0.0,0.00367555720731616,0.94
8,Diffusion,0.0,0.0019582684617489576,0.96
9,Diffusion,0.0,0.0012718200450763106,0.98
0,Diffusion,0.1,0.0013035208685323596,0.97
1,Diffusion,0.1,0.0033670910634100437,0.88
2,Diffusion,0.1,0.0029824303928762674,0.85
3,Diffusion,0.1,0.0024727594573050737,0.91
4,Diffusion,0.1,0.0011556660756468773,0.97
5,Diffusion,0.1,0.0014153352240100503,0.95
6,Diffusion,0.1,0.0032059999648481607,0.59
7,Diffusion,0.1,0.0028776947874575853,0.93
8,Diffusion,0.1,0.003230092581361532,0.83
9,Diffusion,0.1,0.0017831193981692195,0.96
0,Diffusion,0.2,0.004649958107620478,0.63
1,Diffusion,0.2,0.003495898563414812,0.89
2,Diffusion,0.2,0.001321704126894474,0.9
3,Diffusion,0.2,0.002342146821320057,0.96
4,Diffusion,0.2,0.005375819280743599,0.82
5,Diffusion,0.2,0.004562836140394211,0.49
6,Diffusion,0.2,0.0011245951754972339,0.97
7,Diffusion,0.2,0.002603912726044655,0.87
8,Diffusion,0.2,0.024927498772740364,0.14
9,Diffusion,0.2,0.004146424122154713,0.55
0,Diffusion,0.30000000000000004,0.005206030793488026,0.65
1,Diffusion,0.30000000000000004,0.0054190391674637794,0.66
2,Diffusion,0.30000000000000004,0.015192355960607529,0.08
3,Diffusion,0.30000000000000004,0.006405697204172611,0.76
4,Diffusion,0.30000000000000004,0.021058816462755203,0.0
5,Diffusion,0.30000000000000004,0.004566964227706194,0.52
6,Diffusion,0.30000000000000004,0.013485251925885677,0.03
7,Diffusion,0.30000000000000004,0.028415488079190254,0.05
8,Diffusion,0.30000000000000004,0.008088715374469757,0.05
9,Diffusion,0.30000000000000004,0.006494227796792984,0.15
0,Diffusion,0.4,0.008885502815246582,0.12
1,Diffusion,0.4,0.012555534951388836,0.0
2,Diffusion,0.4,0.010807113721966743,0.01
3,Diffusion,0.4,0.018778134137392044,0.02
4,Diffusion,0.4,0.016435761004686356,0.0
5,Diffusion,0.4,0.028741000220179558,0.02
6,Diffusion,0.4,0.014275512658059597,0.0
7,Diffusion,0.4,0.01854029856622219,0.02
8,Diffusion,0.4,0.009930037893354893,0.02
9,Diffusion,0.4,0.0042848666198551655,0.77
0,Diffusion,0.5,0.01575280725955963,0.0
1,Diffusion,0.5,0.008892828598618507,0.0
2,Diffusion,0.5,0.05008919909596443,0.0
3,Diffusion,0.5,0.0091850645840168,0.0
4,Diffusion,0.5,0.021290449425578117,0.0
5,Diffusion,0.5,0.0521109402179718,0.0
6,Diffusion,0.5,0.016585756093263626,0.0
7,Diffusion,0.5,0.01754036918282509,0.0
8,Diffusion,0.5,0.015260923653841019,0.0
9,Diffusion,0.5,0.026800481602549553,0.0
0,Diffusion,0.6000000000000001,0.012915882281959057,0.0
1,Diffusion,0.6000000000000001,0.011553588323295116,0.0
2,Diffusion,0.6000000000000001,0.09500698745250702,0.0
3,Diffusion,0.6000000000000001,0.05028051882982254,0.0
4,Diffusion,0.6000000000000001,0.028888516128063202,0.0
5,Diffusion,0.6000000000000001,0.010149162262678146,0.0
6,Diffusion,0.6000000000000001,0.09981188178062439,0.0
7,Diffusion,0.6000000000000001,0.018495745956897736,0.0
8,Diffusion,0.6000000000000001,0.02943895198404789,0.0
9,Diffusion,0.6000000000000001,0.11097973585128784,0.0
0,Diffusion,0.7000000000000001,0.033891741186380386,0.0
1,Diffusion,0.7000000000000001,0.029586758464574814,0.0
2,Diffusion,0.7000000000000001,0.054170094430446625,0.0
3,Diffusion,0.7000000000000001,0.061712220311164856,0.0
4,Diffusion,0.7000000000000001,0.048019587993621826,0.0
5,Diffusion,0.7000000000000001,0.0309640783816576,0.0
6,Diffusion,0.7000000000000001,0.05192543566226959,0.0
7,Diffusion,0.7000000000000001,0.015583990141749382,0.0
8,Diffusion,0.7000000000000001,0.08214499801397324,0.0
9,Diffusion,0.7000000000000001,0.04761216789484024,0.0
0,Diffusion,0.8,0.033738791942596436,0.0
1,Diffusion,0.8,0.07501980662345886,0.0
2,Diffusion,0.8,0.036641959100961685,0.0
3,Diffusion,0.8,0.09248422086238861,0.0
4,Diffusion,0.8,0.0578208863735199,0.0
5,Diffusion,0.8,0.15114514529705048,0.0
6,Diffusion,0.8,0.03355643153190613,0.0
7,Diffusion,0.8,0.06206302344799042,0.0
8,Diffusion,0.8,0.03136180341243744,0.0
9,Diffusion,0.8,0.016282374039292336,0.0
0,Diffusion,0.9,0.045606546103954315,0.0
1,Diffusion,0.9,0.3041556477546692,0.0
2,Diffusion,0.9,0.0728190615773201,0.0
3,Diffusion,0.9,0.12474528700113297,0.0
4,Diffusion,0.9,0.23323087394237518,0.0
5,Diffusion,0.9,0.08876365423202515,0.0
6,Diffusion,0.9,0.07408013194799423,0.0
7,Diffusion,0.9,0.03384775668382645,0.0
8,Diffusion,0.9,0.17925317585468292,0.0
9,Diffusion,0.9,0.0515926256775856,0.0
0,Diffusion,1.0,0.1523662507534027,0.0
1,Diffusion,1.0,0.07843092083930969,0.0
2,Diffusion,1.0,0.05714541673660278,0.0
3,Diffusion,1.0,0.15443742275238037,0.0
4,Diffusion,1.0,0.048130255192518234,0.0
5,Diffusion,1.0,0.047784026712179184,0.0
6,Diffusion,1.0,0.15808060765266418,0.0
7,Diffusion,1.0,0.07708106189966202,0.0
8,Diffusion,1.0,0.056942421942949295,0.0
9,Diffusion,1.0,0.1349923312664032,0.0
0,MAK,0.0,0.00285893096588552,0.94
1,MAK,0.0,0.004388769622892141,0.88
2,MAK,0.0,0.006998165976256132,0.78
3,MAK,0.0,0.0027072851080447435,0.91
4,MAK,0.0,0.0033666202798485756,0.95
5,MAK,0.0,0.0025284569710493088,0.96
6,MAK,0.0,0.00697227893397212,0.77
7,MAK,0.0,0.0027947307098656893,0.91
8,MAK,0.0,0.0024773620534688234,0.93
9,MAK,0.0,0.004867015406489372,0.73
0,MAK,0.1,0.004647410940378904,0.86
1,MAK,0.1,0.0036794161424040794,0.9
2,MAK,0.1,0.005182330962270498,0.87
3,MAK,0.1,0.008182916790246964,0.92
4,MAK,0.1,0.005247967317700386,0.84
5,MAK,0.1,0.005082582589238882,0.72
6,MAK,0.1,0.005430100951343775,0.84
7,MAK,0.1,0.005738455802202225,0.97
8,MAK,0.1,0.0030011555645614862,0.93
9,MAK,0.1,0.003714448306709528,0.95
0,MAK,0.2,0.006203011609613895,0.91
1,MAK,0.2,0.004128469619899988,0.87
2,MAK,0.2,0.006920137442648411,0.8
3,MAK,0.2,0.01129176001995802,0.86
4,MAK,0.2,0.00641870079562068,0.86
5,MAK,0.2,0.008179391734302044,0.75
6,MAK,0.2,0.01050700806081295,0.83
7,MAK,0.2,0.0069421883672475815,0.81
8,MAK,0.2,0.003021959913894534,0.95
9,MAK,0.2,0.007527874317020178,0.79
0,MAK,0.30000000000000004,0.014497755095362663,0.69
1,MAK,0.30000000000000004,0.013639364391565323,0.77
2,MAK,0.30000000000000004,0.0040907906368374825,0.84
3,MAK,0.30000000000000004,0.004665025509893894,0.91
4,MAK,0.30000000000000004,0.008587873540818691,0.67
5,MAK,0.30000000000000004,0.006846342235803604,0.87
6,MAK,0.30000000000000004,0.010307752527296543,0.77
7,MAK,0.30000000000000004,0.008118733763694763,0.88
8,MAK,0.30000000000000004,0.0076517341658473015,0.73
9,MAK,0.30000000000000004,0.014058435335755348,0.55
