,Dynamics,delta,loss,pval
0,Diffusion,0.0,0.0031126397661864758,0.83
1,Diffusion,0.0,0.0012893050443381071,0.93
2,Diffusion,0.0,0.002144579542800784,0.95
3,Diffusion,0.0,0.0018217802280560136,0.93
4,Diffusion,0.0,0.001495888689532876,0.95
5,Diffusion,0.0,0.002047009998932481,0.94
6,Diffusion,0.0,0.0027766802813857794,0.98
7,Diffusion,0.0,0.0024285418912768364,0.94
8,Diffusion,0.0,0.001988154137507081,0.95
9,Diffusion,0.0,0.0018001365242525935,0.94
0,Diffusion,0.1,0.0030206453520804644,0.89
1,Diffusion,0.1,0.0041527836583554745,0.84
2,Diffusion,0.1,0.0027910908684134483,0.92
3,Diffusion,0.1,0.005000547040253878,0.49
4,Diffusion,0.1,0.0020987538155168295,0.94
5,Diffusion,0.1,0.003649761201813817,0.95
6,Diffusion,0.1,0.0017001311061903834,0.94
7,Diffusion,0.1,0.0032755739521235228,0.91
8,Diffusion,0.1,0.0019706175662577152,0.95
9,Diffusion,0.1,0.0018887780606746674,0.92
0,Diffusion,0.2,0.0031857527792453766,0.92
1,Diffusion,0.2,0.00589150981977582,0.79
2,Diffusion,0.2,0.0038211168721318245,0.85
3,Diffusion,0.2,0.0051688384264707565,0.79
4,Diffusion,0.2,0.002820041961967945,0.91
5,Diffusion,0.2,0.003929917234927416,0.79
6,Diffusion,0.2,0.0022525677923113108,0.88
7,Diffusion,0.2,0.004724239464849234,0.91
8,Diffusion,0.2,0.005333899054676294,0.88
9,Diffusion,0.2,0.006217075511813164,0.61
0,Diffusion,0.30000000000000004,0.016980081796646118,0.0
1,Diffusion,0.30000000000000004,0.005867897067219019,0.2
2,Diffusion,0.30000000000000004,0.007397419773042202,0.81
3,Diffusion,0.30000000000000004,0.0056527601554989815,0.84
4,Diffusion,0.30000000000000004,0.00597518403083086,0.72
5,Diffusion,0.30000000000000004,0.008598579093813896,0.03
6,Diffusion,0.30000000000000004,0.010725383646786213,0.19
7,Diffusion,0.30000000000000004,0.03273477032780647,0.03
8,Diffusion,0.30000000000000004,0.010329032316803932,0.0
9,Diffusion,0.30000000000000004,0.0027337283827364445,0.93
0,Diffusion,0.4,0.01352668646723032,0.02
1,Diffusion,0.4,0.017732391133904457,0.0
2,Diffusion,0.4,0.024822918698191643,0.0
3,Diffusion,0.4,0.03517219424247742,0.0
4,Diffusion,0.4,0.011849950067698956,0.03
5,Diffusion,0.4,0.034104134887456894,0.1
6,Diffusion,0.4,0.027967534959316254,0.0
7,Diffusion,0.4,0.024731585755944252,0.02
8,Diffusion,0.4,0.012696679681539536,0.03
9,Diffusion,0.4,0.004719872493296862,0.09
0,Diffusion,0.5,0.021041322499513626,0.01
1,Diffusion,0.5,0.02633560262620449,0.0
2,Diffusion,0.5,0.021956108510494232,0.01
3,Diffusion,0.5,0.012360255233943462,0.0
4,Diffusion,0.5,0.03205874189734459,0.0
5,Diffusion,0.5,0.030855262652039528,0.0
6,Diffusion,0.5,0.018004458397626877,0.0
7,Diffusion,0.5,0.018687041476368904,0.0
8,Diffusion,0.5,0.012373405508697033,0.01
9,Diffusion,0.5,0.018401123583316803,0.03
