,Dynamics,delta,loss,pval
0,Diffusion,0.1,0.001708937343209982,0.86
1,Diffusion,0.1,0.0020430467557162046,0.91
2,Diffusion,0.1,0.003550321329385042,0.98
3,Diffusion,0.1,0.002240321831777692,0.95
4,Diffusion,0.1,0.002189305145293474,0.93
5,Diffusion,0.1,0.002351411385461688,0.75
6,Diffusion,0.1,0.001784283434972167,0.98
7,Diffusion,0.1,0.0016833919798955321,0.97
8,Diffusion,0.1,0.002814720617607236,0.88
9,Diffusion,0.1,0.002140723168849945,0.96
0,Diffusion,0.3,0.002690194407477975,0.84
1,Diffusion,0.3,0.003016436006873846,0.94
2,Diffusion,0.3,0.0026416198816150427,0.96
3,Diffusion,0.3,0.0027610345277935266,0.97
4,Diffusion,0.3,0.0031058359891176224,0.92
5,Diffusion,0.3,0.002125306986272335,0.91
6,Diffusion,0.3,0.0020110325422137976,0.93
7,Diffusion,0.3,0.0014057994121685624,0.9
8,Diffusion,0.3,0.0017585272435098886,0.93
9,Diffusion,0.3,0.004346099682152271,0.84
0,Diffusion,0.4,0.0038859110791236162,0.38
1,Diffusion,0.4,0.0014471950707957149,0.96
2,Diffusion,0.4,0.001724481931887567,0.93
3,Diffusion,0.4,0.0024232533760368824,0.93
4,Diffusion,0.4,0.0021799085661768913,0.95
5,Diffusion,0.4,0.0019897178281098604,0.89
6,Diffusion,0.4,0.002642381703481078,0.86
7,Diffusion,0.4,0.003347845282405615,0.85
8,Diffusion,0.4,0.0033402389381080866,0.86
9,Diffusion,0.4,0.002444442128762603,0.98
0,MAK,0.1,0.011450402438640594,0.32
1,MAK,0.1,0.007574948947876692,0.65
2,MAK,0.1,0.01070164330303669,0.51
3,MAK,0.1,0.016682574525475502,0.46
4,MAK,0.1,0.012860952876508236,0.55
5,MAK,0.1,0.011634533293545246,0.32
6,MAK,0.1,0.006498305592685938,0.65
7,MAK,0.1,0.011377635411918163,0.5
8,MAK,0.1,0.0152110755443573,0.34
9,MAK,0.1,0.011039568111300468,0.34
0,MAK,0.3,0.0048721362836658955,0.79
1,MAK,0.3,0.003408573567867279,0.8
2,MAK,0.3,0.006818910129368305,0.76
3,MAK,0.3,0.002243553753942251,0.91
4,MAK,0.3,0.005880414973944426,0.79
5,MAK,0.3,0.004397655371576548,0.82
6,MAK,0.3,0.005365491844713688,0.69
7,MAK,0.3,0.005045025143772364,0.83
8,MAK,0.3,0.003303487552329898,0.96
9,MAK,0.3,0.00555897131562233,0.87
0,MAK,0.4,0.004198828246444464,0.88
1,MAK,0.4,0.003325491910800338,0.86
2,MAK,0.4,0.003082947339862585,0.99
3,MAK,0.4,0.005027259234338999,0.83
4,MAK,0.4,0.0043334378860890865,0.93
5,MAK,0.4,0.0031379740685224533,0.98
6,MAK,0.4,0.003475419944152236,0.9
7,MAK,0.4,0.0044948342256248,0.94
8,MAK,0.4,0.008035275153815746,0.67
9,MAK,0.4,0.004434358794242144,0.79
0,MM,0.1,0.0146519485861063,0.96
1,MM,0.1,0.00659465417265892,0.99
2,MM,0.1,0.015690011903643608,0.9
3,MM,0.1,0.014653398655354977,0.89
4,MM,0.1,0.011155239306390285,0.95
5,MM,0.1,0.016707995906472206,0.87
6,MM,0.1,0.012738133780658245,0.94
7,MM,0.1,0.011847355403006077,0.97
8,MM,0.1,0.013276836834847927,0.92
9,MM,0.1,0.030154144391417503,0.88
0,MM,0.3,0.009181437082588673,0.96
1,MM,0.3,0.00940071139484644,0.95
2,MM,0.3,0.021320011466741562,0.92
3,MM,0.3,0.02421940304338932,0.86
4,MM,0.3,0.010545915924012661,0.94
5,MM,0.3,0.015730656683444977,0.84
6,MM,0.3,0.02490232139825821,0.94
7,MM,0.3,0.014347719959914684,0.93
8,MM,0.3,0.016819579526782036,0.92
9,MM,0.3,0.021728962659835815,0.91
0,MM,0.4,0.019437210634350777,0.92
1,MM,0.4,0.02013285458087921,0.96
2,MM,0.4,0.006592368707060814,0.94
3,MM,0.4,0.02163086086511612,0.89
4,MM,0.4,0.007014710921794176,0.97
5,MM,0.4,0.01952645741403103,0.87
6,MM,0.4,0.01204936858266592,0.89
7,MM,0.4,0.015363384038209915,0.9
8,MM,0.4,0.023937199264764786,0.92
9,MM,0.4,0.012517011724412441,0.91
0,PD,0.1,0.016482217237353325,0.92
1,PD,0.1,0.01207043044269085,0.98
2,PD,0.1,0.02062094397842884,0.96
3,PD,0.1,0.024397749453783035,0.88
4,PD,0.1,0.01927613839507103,0.79
5,PD,0.1,0.00900258868932724,0.95
6,PD,0.1,0.01772444322705269,0.94
7,PD,0.1,0.012956985272467136,0.96
8,PD,0.1,0.014396991580724716,0.89
9,PD,0.1,0.01362792868167162,0.96
0,PD,0.3,0.017198113724589348,0.97
1,PD,0.3,0.01281632762402296,0.97
2,PD,0.3,0.015889516100287437,0.86
3,PD,0.3,0.014073084108531475,0.96
4,PD,0.3,0.01797461323440075,0.87
5,PD,0.3,0.0166200939565897,0.94
6,PD,0.3,0.02293960563838482,0.93
7,PD,0.3,0.013966656289994717,0.99
8,PD,0.3,0.012479525059461594,1.0
