,dynamics,N,p,loss,loss_err
0,Diffusion,50,0.1,0.0060148737,0.0004844379
1,Diffusion,100,0.1,0.010270345,0.00024502442
2,Diffusion,150,0.1,0.014626585,0.00045121467
3,Diffusion,200,0.1,0.019216305,0.00048144854
4,Diffusion,250,0.1,0.02328265,0.00048457365
5,Diffusion,300,0.1,0.027876977,0.00033441858
6,Diffusion,350,0.1,0.032454304,0.00035964037
7,Diffusion,400,0.1,0.036789708,0.00041500627
8,Diffusion,450,0.1,0.0412294,0.00058144325
9,PD,50,0.1,0.018002238,0.00040190408
10,PD,100,0.1,0.021604128,0.0004697005
11,PD,150,0.1,0.026559845,0.00065494614
12,PD,200,0.1,0.0316535,0.00059998897
13,PD,250,0.1,0.03782379,0.0005102807
14,PD,300,0.1,0.044338048,0.00048787004
15,PD,350,0.1,0.05115223,0.0004540114
16,PD,400,0.1,0.057813965,0.0006621988
17,PD,450,0.1,0.06405278,0.00071304955
18,MAK,50,0.1,0.0076173753,0.00019870084
19,MAK,100,0.1,0.011174575,0.00034719417
20,MAK,150,0.1,0.016210549,0.0005055628
21,MAK,200,0.1,0.022408698,0.00065454375
22,MAK,250,0.1,0.027983215,0.00070346554
23,MAK,300,0.1,0.03385955,0.00074208825
24,MAK,350,0.1,0.040048465,0.0007733733
25,MAK,400,0.1,0.04626891,0.0005722103
26,MAK,450,0.1,0.051807754,0.00070615637
27,MM,50,0.1,0.018978763,0.00089542
28,MM,100,0.1,0.025834337,0.0008349422
29,MM,150,0.1,0.031969253,0.00079961726
30,MM,200,0.1,0.037367277,0.0006929142
31,MM,250,0.1,0.04274304,0.00081598066
32,MM,300,0.1,0.04753991,0.00065044273
33,MM,350,0.1,0.051548015,0.00047472314
34,MM,400,0.1,0.056905787,0.0008847345
35,MM,450,0.1,0.061627984,0.0011098565
36,SIS,50,0.1,0.005991935,0.00029063574
37,SIS,100,0.1,0.0051698266,0.000105014005
38,SIS,150,0.1,0.007947847,0.00022026473
39,SIS,200,0.1,0.01225636,0.00050142675
40,SIS,250,0.1,0.0174104,0.00038853436
41,SIS,300,0.1,0.022546995,0.00042517914
42,SIS,350,0.1,0.027957793,0.00041612994
43,SIS,400,0.1,0.033423845,0.00046836626
44,SIS,450,0.1,0.038730584,0.00042534916
