,dynamics,N,p,loss,loss_err
0,Diffusion,100,0.05,0.006000112,0.00028329587
1,Diffusion,100,0.1,0.010247533,0.00036526404
2,Diffusion,100,0.2,0.019041535,0.00045340398
3,Diffusion,100,0.30000000000000004,0.027812472,0.00057890365
4,Diffusion,100,0.4,0.036720816,0.00062369555
5,Diffusion,100,0.5,0.04495888,0.00064991735
6,Diffusion,100,0.6000000000000001,0.053939186,0.0008216868
7,Diffusion,100,0.7,0.06265898,0.00071879034
8,Diffusion,100,0.8,0.07099987,0.0010947709
9,Diffusion,100,0.9000000000000001,0.08039318,0.0011695947
10,Diffusion,100,1.0,0.08954863,0.0009061935
11,PD,100,0.05,0.017784292,0.00032019324
12,PD,100,0.1,0.021718126,0.00044114233
13,PD,100,0.2,0.031813584,0.00092947774
14,PD,100,0.30000000000000004,0.043644197,0.00094316446
15,PD,100,0.4,0.057064664,0.0012176516
16,PD,100,0.5,0.07033792,0.0021443327
17,PD,100,0.6000000000000001,0.08437571,0.002490009
18,PD,100,0.7,0.09777789,0.002079559
19,PD,100,0.8,0.111350656,0.0016210706
20,PD,100,0.9000000000000001,0.12556697,0.0024762643
21,PD,100,1.0,0.13762933,0.0036469686
22,MAK,100,0.05,0.007564211,0.00013008183
23,MAK,100,0.1,0.011128895,0.00041420743
24,MAK,100,0.2,0.02188098,0.000699159
25,MAK,100,0.30000000000000004,0.03306032,0.00058567553
26,MAK,100,0.4,0.04596108,0.0013164611
27,MAK,100,0.5,0.057873018,0.0013581236
28,MAK,100,0.6000000000000001,0.06988151,0.0015655762
29,MAK,100,0.7,0.082389556,0.00083668204
30,MAK,100,0.8,0.0936809,0.0013943261
31,MAK,100,0.9000000000000001,0.10639956,0.0018926119
32,MAK,100,1.0,0.11939965,0.0013401665
33,MM,100,0.05,0.01792685,0.0003933323
34,MM,100,0.1,0.025620807,0.00037721955
35,MM,100,0.2,0.037800897,0.0009982749
36,MM,100,0.30000000000000004,0.04804231,0.0015816729
37,MM,100,0.4,0.056482803,0.0015662438
38,MM,100,0.5,0.06495584,0.0016830389
39,MM,100,0.6000000000000001,0.074633874,0.0038466132
40,MM,100,0.7,0.08275028,0.004515315
41,MM,100,0.8,0.091006264,0.0042300518
42,MM,100,0.9000000000000001,0.09849928,0.0046481206
43,MM,100,1.0,0.10733531,0.010415393
44,SIS,100,0.05,0.0059801186,0.0002109305
45,SIS,100,0.1,0.0052258046,0.00010623605
46,SIS,100,0.2,0.012388314,0.00026471028
47,SIS,100,0.30000000000000004,0.022380415,0.00070072734
48,SIS,100,0.4,0.03318224,0.00065573136
49,SIS,100,0.5,0.04403977,0.00086028234
50,SIS,100,0.6000000000000001,0.054548323,0.0009043545
51,SIS,100,0.7,0.06503518,0.00079262495
52,SIS,100,0.8,0.0766404,0.0008805333
53,SIS,100,0.9000000000000001,0.08655486,0.0009262869
54,SIS,100,1.0,0.09711079,0.00080146786
